1;arms_factory;360.00;14.45;2039.00;4.70;0
1;arms_factory;194.00;10.93;2025.00;2.54;0
1;arms_factory;183.00;10.38;1967.00;3.74;0
1;arms_factory;98.00;11.85;2018.00;0.48;0
1;arms_factory;136.00;12.03;2014.00;3.14;0
1;arms_factory;249.00;13.82;2038.00;5.81;0
1;industrial_complex;251.00;10.38;1970.00;2.54;0
1;industrial_complex;365.00;9.90;1962.00;5.21;0
1;industrial_complex;361.00;11.20;1995.00;1.59;0
1;industrial_complex;431.00;11.10;1992.00;4.25;0
1;industrial_complex;46.00;11.32;1985.00;0.99;0
1;industrial_complex;437.00;10.45;1981.00;3.66;0
1;air_base;151.00;12.05;1984.00;0.04;0
1;supply_node;188.00;10.60;1971.00;4.98;0
1;supply_node;73.00;11.75;2024.00;0.18;0
1;supply_node;182.00;11.12;2026.00;3.12;0
1;supply_node;360.00;13.00;2030.00;0.87;0
1;supply_node;284.00;14.40;2005.00;2.35;0
1;supply_node;125.00;11.18;1964.00;5.28;0
1;supply_node;61.00;10.73;1975.00;1.59;0
1;supply_node;411.00;10.70;1988.00;4.52;0
1;supply_node;334.00;10.48;1970.00;6.00;0
1;supply_node;27.00;13.35;2036.00;3.76;0
1;supply_node;31.00;10.32;1958.00;0.41;0
1;supply_node;133.00;11.88;2016.00;1.89;0
1;supply_node;239.00;13.28;2034.00;5.93;0
1;supply_node;402.00;10.20;1935.00;1.13;0
1;supply_node;25.00;10.73;1998.00;4.07;0
1;supply_node;229.00;12.12;1992.00;0.72;0
1;naval_base;339.00;9.50;1959.00;-0.03;20643
1;naval_base;19.00;10.00;1972.00;-0.46;20535
1;naval_base;15.00;11.75;2009.00;-1.43;20535
1;naval_base;288.00;9.80;1947.00;-0.04;20435
1;naval_base;93.00;9.50;1944.00;0.00;20577
1;naval_base;7.00;13.25;2041.00;-1.46;20535
1;naval_base;68.00;9.50;1946.00;0.26;20577
1;naval_base;379.00;9.50;1963.00;-0.81;20643
1;naval_base;421.00;9.53;1924.00;-1.05;20643
1;naval_base;226.00;9.85;1960.00;1.09;20435
1;naval_base;255.00;9.60;1960.00;0.46;20435
1;bunker;23.00;12.28;2023.00;5.45;0
1;bunker;112.00;11.60;2020.00;3.29;0
1;bunker;178.00;9.98;1953.00;5.95;0
1;bunker;315.00;9.80;1926.00;2.33;0
1;bunker;243.00;10.35;1970.00;3.89;0
