1;3504.12;10.00;1148.00;big
2;1924.92;10.00;1474.49;big
3;1833.72;10.00;1431.02;big
4;1870.71;10.00;1529.78;big
5;1957.83;10.00;1568.72;big
6;2097.95;10.00;1586.58;small
7;1695.08;10.00;1422.61;small
8;1606.87;10.00;1414.17;big
9;1971.90;10.00;1407.41;big
10;2022.95;10.00;1524.46;big
11;2083.88;10.00;1429.17;big
12;2173.52;10.00;1526.40;big
13;1902.72;10.00;1350.91;big
14;1891.95;10.00;1294.58;big
15;1869.91;10.00;1228.14;big
16;1883.46;10.00;1142.64;big
17;2005.77;10.00;1186.88;big
18;2284.99;10.00;1393.01;big
19;2188.00;10.00;1399.13;big
20;2146.87;10.00;1312.29;big
21;1503.88;10.00;1145.38;big
22;1470.92;10.00;1338.07;big
23;1577.95;10.00;1269.33;big
24;1723.37;10.00;1163.74;small
25;2020.57;10.00;1295.99;big
26;2119.48;10.00;1221.75;big
27;2228.33;10.00;1190.00;big
28;2382.69;10.00;1244.32;small
29;2442.12;10.00;1392.53;small
30;2007.36;10.00;1062.22;big
31;1973.39;10.00;926.49;big
32;2140.58;10.00;860.48;big
33;2316.60;10.00;818.17;big
34;2380.41;10.00;879.52;big
35;2263.43;10.00;570.59;big
36;2171.75;10.00;1052.66;big
37;2296.94;10.00;1097.56;big
38;2412.92;10.00;1117.15;big
39;2174.19;10.00;950.67;big
40;2256.18;10.00;880.77;big
41;2394.90;10.00;948.10;big
42;2525.19;10.00;1044.55;big
43;2360.04;10.00;1007.04;big
44;2534.43;10.00;1148.12;big
45;2629.22;10.00;1132.35;big
46;2571.92;10.00;1210.95;big
47;2603.60;10.00;1315.95;big
48;2537.03;10.00;1446.09;big
49;2579.83;10.00;1514.68;big
50;2321.65;10.00;1567.34;small
51;1819.64;10.00;993.14;small
52;1625.26;10.00;1074.85;small
53;1912.53;10.00;836.11;small
54;1913.62;10.00;778.20;big
55;1891.90;10.00;661.70;big
56;1891.41;10.00;529.62;big
57;2023.49;10.00;546.85;big
58;1837.79;10.00;367.48;big
59;1724.98;10.00;556.11;big
60;1744.07;10.00;601.35;big
61;1702.52;10.00;664.64;big
62;1791.69;10.00;721.66;big
63;1948.45;10.00;623.02;big
64;1577.75;10.00;648.90;big
65;1605.55;10.00;561.21;big
66;1459.81;10.00;570.38;big
67;1355.14;10.00;571.31;big
68;1484.86;10.00;642.58;big
69;1337.92;10.00;639.99;big
70;1086.68;10.00;639.60;big
71;1199.37;10.00;642.47;big
72;1210.07;10.00;585.52;big
73;1109.45;10.00;541.70;big
74;1215.49;10.00;509.10;big
75;994.21;10.00;540.86;big
76;1355.89;10.00;485.48;big
77;1719.01;10.00;459.99;small
78;1096.86;10.00;466.40;small
